<NUMBER OF NODES> 	14478
<NUMBER OF LINKS> 	54838
<END OF METADATA>		


~ 	init 	term 	: 	flow 	cost 	; 
	179 	8384 	: 	0 	inf 	; 
	179 	8476 	: 	0 	inf 	; 
	180 	8 	: 	642 	25.1273 	; 
	180 	5455 	: 	8631.83 	4.45586 	; 
	180 	5623 	: 	0 	inf 	; 
	181 	1322 	: 	0 	inf 	; 
	181 	3545 	: 	0 	4.78932 	; 
	182 	3662 	: 	9077.36 	122.223 	; 
	182 	9810 	: 	0 	inf 	; 
	182 	12017 	: 	0 	inf 	; 
	182 	12018 	: 	0 	63.2468 	; 
	183 	6829 	: 	4121.85 	39.4325 	; 
	183 	9076 	: 	0 	inf 	; 
	184 	4556 	: 	0 	inf 	; 
	184 	7111 	: 	16281.6 	34.2596 	; 
	184 	13253 	: 	0 	inf 	; 
	184 	13254 	: 	10.6667 	186.861 	; 
	184 	13255 	: 	0 	inf 	; 
	184 	13256 	: 	13.3333 	74.1214 	; 
	184 	13263 	: 	0 	inf 	; 
	184 	13264 	: 	405.333 	120.432 	; 
	185 	2850 	: 	19189.2 	165.261 	; 
	185 	7430 	: 	0 	inf 	; 
	185 	10088 	: 	0 	inf 	; 
	185 	12095 	: 	0 	inf 	; 
	185 	12096 	: 	120.667 	98.7285 	; 
	186 	52 	: 	0 	inf 	; 
	186 	2576 	: 	20048.7 	7.45704 	; 
